ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	bac.2C	bac.2C.Gen4	bac.B1	bac.B2	bac.B3	bac.BHI01A	bac.BHI01B	bac.BHI01C	bac.BHI05A	bac.BHI05B	bac.BHI05C	bac.BHI05LB05	bac.LB01A	bac.LB01B	bac.LB01C	bac.LB05A	bac.LB05B	bac.LB05C	RNA.BHI05A	RNA.BHI05B	RNA.BHI05C	RNA.BHI05LB05	RNA.LB05A	RNA.LB05B	RNA.LB05C
sq1	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	11562	2543	34705	26077	20509	41897	44322	56623	65523	92870	42221	133100	25180	20103	10775	49924	27544	44434	51339	29144	89453	107601	27942	23521	29677
sq2	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma	27652	1819	27924	15614	15783	6969	1031	11966	15805	4796	466	57944	20523	5528	10666	1292	2901	8167	28724	2499	1471	66092	16750	11695	20199
sq3	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma	80	173	35	7	6774	492	4785	2942	3134	11429	6977	586	857	1505	445	2936	4369	5647	9884	6583	31266	1555	9372	5102	3713
sq4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	10	17	7	3	2	135	408	89	105	274	120	305	73	211	46	169	19	13	5	2	12	7	4	0	0
sq5	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	16	19	11	2	2	113	449	80	109	210	102	296	59	58	77	140	23	13	6	2	5	6	3	7	6
sq6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	91	35	156	81	9	4	41	35	3	18	6	2	56	142	179	0	0	5	4	89	3	3	264	114	76
sq7	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	7	19	3	3	1	89	293	55	83	165	91	213	27	34	54	156	10	20	5	10	16	14	10	4	11
sq8	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	10	4	13	28	15	30	54	50	54	85	30	108	17	14	6	45	14	49	33	19	83	100	29	19	29
sq9	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	9	4	2	5	2	53	161	32	26	60	35	120	20	57	22	74	16	3	2	0	14	7	3	1	6
sq10	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	2	4	1	1	0	52	172	49	30	78	38	108	19	90	10	52	5	8	0	1	1	3	1	1	0
