sq1	sq2	sq3	sq4	sq5	sq6	sq7	sq8	sq9	sq10	sq11	sq12	sq13	sq14	sq15	sq16	sq17	sq18	sq19	sq20	sq21	sq22	sq23	sq24	sq25	sq26	sq27	sq28	sq29	sq30	sq31	sq32	sq33	sq34	sq35	sq36	sq37	sq38	sq39	sq40	sq41	sq42	sq43	sq44	sq45	sq46	sq47	sq48	sq49	sq50	sq51	sq52	sq53	sq54	sq55	sq56	sq57	sq58	sq59	sq60	sq61	sq62	sq63	sq64	sq65	sq66	sq67	sq68	sq69	sq70	sq71	sq72	sq73	sq74	sq75	sq76	sq77	sq78	sq79	sq80	sq81	sq82	sq83	sq84	sq85	sq86	sq87	sq88	sq89	sq90	sq91	sq92	sq93	sq94	sq95	sq96	sq97	sq98	sq99	sq100	sq101	sq102	sq103	sq104	sq105	sq106	sq107	sq108	sq109	sq110	sq111	sq112	sq113	sq114	sq115	sq116	sq117	sq118	sq119	sq120	sq121	sq122	sq123	sq124	sq125	sq126	sq127	sq128	sq129	sq130	sq131	sq132	sq133	sq134	sq135	sq136	sq137	sq138	sq139	sq140	sq141	sq142	sq143	sq144	sq145	sq146	sq147	sq148	sq149	sq150	sq151	sq152	sq153	sq154	sq155	sq156	sq157	sq158	sq159	sq160	sq161	sq162	sq163	sq164	sq165	sq166	sq167	sq168	sq169	sq170	sq171	sq172	sq173	sq174	sq175	sq176	sq177	sq178	sq179	sq180	sq181	sq182	sq183	sq184	sq185	sq186	sq187	sq188	sq189	sq190	sq191	sq192	sq193	sq194	sq195	sq196	sq197	sq198	sq199	sq200	sq201	sq202
bac.2C	11562	27652	80	10	16	91	7	10	9	2	6	4	3	8	3	0	0	6	19	6	17	1	1	0	0	0	0	0	0	2	0	0	8	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
bac.2C.Gen4	2543	1819	173	17	19	35	19	4	4	4	7	2	6	3	5	0	0	0	6	4	11	0	0	0	0	0	4	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.B1	34705	27924	35	7	11	156	3	13	2	1	112	3	4	120	4	9	0	54	78	4	0	26	2	38	29	0	7	13	0	0	7	0	0	19	0	0	4	0	0	0	20	4	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	14	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	7	0	0	1	0	6	0	0	6	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.B2	26077	15614	7	3	2	81	3	28	5	1	103	3	1	35	0	16	0	27	19	11	0	5	3	13	16	0	0	0	0	0	7	0	1	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.B3	20509	15783	6774	2	2	9	1	15	2	0	29	0	1	32	1	0	0	21	20	3	0	8	2	3	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
bac.BHI01A	41897	6969	492	135	113	4	89	30	53	52	3	59	40	3	37	0	0	0	0	0	9	1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.BHI01B	44322	1031	4785	408	449	41	293	54	161	172	18	96	121	2	110	0	0	12	3	20	8	1	5	5	0	0	0	14	0	1	0	0	0	0	4	0	0	0	1	10	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	5	5	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
bac.BHI01C	56623	11966	2942	89	80	35	55	50	32	49	2	26	44	3	32	0	0	2	7	7	6	2	15	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.BHI05A	65523	15805	3134	105	109	3	83	54	26	30	2	37	31	0	42	0	0	0	0	0	7	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bac.BHI05B	92870	4796	11429	274	210	18	165	85	60	78	3	59	70	0	69	0	0	16	1	3	10	4	17	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
